stimulus_id,stimulus_text,response_start,response_end,response_duration,status,validation,response_file
1,Quiero cortarme el pelo,6.0,8.0,2.0,OK,OK,eit_output_v3/038011_1A_preprocessed/responses/response_01.wav
2,El libro está en la mesa,13.2,14.8,1.6,OK,OK,eit_output_v3/038011_1A_preprocessed/responses/response_02.wav
3,El carro lo tiene Pedro,20.6,22.4,1.8,OK,OK,eit_output_v3/038011_1A_preprocessed/responses/response_03.wav
4,El se ducha cada mañana,28.6,31.1,2.5,OK,OK,eit_output_v3/038011_1A_preprocessed/responses/response_04.wav
5,¿Qué dice usted que va a hacer hoy?,37.7,39.9,2.2,OK,OK,eit_output_v3/038011_1A_preprocessed/responses/response_05.wav
6,Dudo que sepa manejar muy bien,46.8,49.9,3.1,OK,OK,eit_output_v3/038011_1A_preprocessed/responses/response_06.wav
7,Las calles de esta ciudad son muy anchas,56.7,61.4,4.7,OK,OK,eit_output_v3/038011_1A_preprocessed/responses/response_07.wav
8,Puede que llueva mañana todo el día,67.9,70.2,2.3,OK,OK,eit_output_v3/038011_1A_preprocessed/responses/response_08.wav
9,Las casas son muy bonitas pero caras,79.1,82.6,3.5,OK,OK,eit_output_v3/038011_1A_preprocessed/responses/response_09.wav
10,Me gustan las películas que acaban bien,91.1,93.4,2.3,OK,OK,eit_output_v3/038011_1A_preprocessed/responses/response_10.wav
11,El chico con el que yo salgo es español,102.9,107.9,5.0,OK,OK,eit_output_v3/038011_1A_preprocessed/responses/response_11.wav
12,Después de cenar me fui a dormir tranquilo,115.7,120.8,5.1,OK,OK,eit_output_v3/038011_1A_preprocessed/responses/response_12.wav
13,Quiero una casa en la que vivan mis animales,128.2,131.7,3.5,OK,OK,eit_output_v3/038011_1A_preprocessed/responses/response_13.wav
14,A nosotros nos fascinan las fiestas grandiosas,140.6,143.1,2.5,OK,OK,eit_output_v3/038011_1A_preprocessed/responses/response_14.wav
15,Ella sólo bebe cerveza y no come nada,153.9,157.8,3.9,OK,OK,eit_output_v3/038011_1A_preprocessed/responses/response_15.wav
16,Me gustaría que el precio de las casas bajara,167.9,174.2,6.3,OK,OK,eit_output_v3/038011_1A_preprocessed/responses/response_16.wav
17,Cruza a la derecha y después sigue todo recto,182.1,188.5,6.4,OK,OK,eit_output_v3/038011_1A_preprocessed/responses/response_17.wav
18,Ella ha terminado de pintar su apartamento,196.1,201.7,5.6,OK,OK,eit_output_v3/038011_1A_preprocessed/responses/response_18.wav
19,Me gustaría que empezara a hacer más calor pronto,208.5,214.9,6.4,OK,OK,eit_output_v3/038011_1A_preprocessed/responses/response_19.wav
20,El niño al que se le murió el gato está triste,222.6,226.6,4.0,OK,OK,eit_output_v3/038011_1A_preprocessed/responses/response_20.wav
21,Una amiga mía cuida a los niños de mi vecino,237.3,241.9,4.6,OK,OK,eit_output_v3/038011_1A_preprocessed/responses/response_21.wav
22,El gato que era negro fue perseguido por el perro,250.9,257.6,6.7,OK,OK,eit_output_v3/038011_1A_preprocessed/responses/response_22.wav
23,Antes de poder salir él tiene que limpiar su cuarto,266.1,274.4,8.3,OK,OK,eit_output_v3/038011_1A_preprocessed/responses/response_23.wav
24,La cantidad de personas que fuman ha disminuido,282.2,286.6,4.4,OK,OK,eit_output_v3/038011_1A_preprocessed/responses/response_24.wav
25,Después de llegar a casa del trabajo tomé la cena,297.1,302.8,5.7,OK,OK,eit_output_v3/038011_1A_preprocessed/responses/response_25.wav
26,El ladrón al que atrapó la policía era famoso,314.1,321.1,7.0,OK,OK,eit_output_v3/038011_1A_preprocessed/responses/response_26.wav
27,Le pedí a un amigo que me ayudara con la tarea,328.6,333.1,4.5,OK,OK,eit_output_v3/038011_1A_preprocessed/responses/response_27.wav
28,El examen no fue tan difícil como me habían dicho,343.8,345.8,2.0,OK,SUSPICIOUSLY_SHORT(≥2.7s expected),eit_output_v3/038011_1A_preprocessed/responses/response_28.wav
29,¿Serías tan amable de darme el libro que está en la mesa?,359.7,362.7,3.0,OK,SUSPICIOUSLY_SHORT(≥3.2s expected),eit_output_v3/038011_1A_preprocessed/responses/response_29.wav
30,Hay mucha gente que no toma nada para el desayuno,374.4,377.3,2.9,OK,OK,eit_output_v3/038011_1A_preprocessed/responses/response_30.wav
