stimulus_id,stimulus_text,response_start,response_end,response_duration,status,validation,response_file
1,Quiero cortarme el pelo,5.3,7.0,1.7,OK,OK,eit_output_v3/038010_2A_preprocessed/responses/response_01.wav
2,El libro está en la mesa,12.6,14.3,1.7,OK,OK,eit_output_v3/038010_2A_preprocessed/responses/response_02.wav
3,El carro lo tiene Pedro,20.0,21.9,1.9,OK,OK,eit_output_v3/038010_2A_preprocessed/responses/response_03.wav
4,El se ducha cada mañana,28.1,29.9,1.8,OK,OK,eit_output_v3/038010_2A_preprocessed/responses/response_04.wav
5,¿Qué dice usted que va a hacer hoy?,37.2,39.7,2.5,OK,OK,eit_output_v3/038010_2A_preprocessed/responses/response_05.wav
6,Dudo que sepa manejar muy bien,46.3,48.8,2.5,OK,OK,eit_output_v3/038010_2A_preprocessed/responses/response_06.wav
7,Las calles de esta ciudad son muy anchas,56.1,59.2,3.1,OK,OK,eit_output_v3/038010_2A_preprocessed/responses/response_07.wav
8,Puede que llueva mañana todo el día,67.5,70.1,2.6,OK,OK,eit_output_v3/038010_2A_preprocessed/responses/response_08.wav
9,Las casas son muy bonitas pero caras,78.7,83.2,4.5,OK,OK,eit_output_v3/038010_2A_preprocessed/responses/response_09.wav
10,Me gustan las películas que acaban bien,90.4,93.0,2.6,OK,OK,eit_output_v3/038010_2A_preprocessed/responses/response_10.wav
11,El chico con el que yo salgo es español,102.8,106.3,3.5,OK,OK,eit_output_v3/038010_2A_preprocessed/responses/response_11.wav
12,Después de cenar me fui a dormir tranquilo,114.7,118.2,3.5,OK,OK,eit_output_v3/038010_2A_preprocessed/responses/response_12.wav
13,Quiero una casa en la que vivan mis animales,126.6,130.4,3.8,OK,OK,eit_output_v3/038010_2A_preprocessed/responses/response_13.wav
14,A nosotros nos fascinan las fiestas grandiosas,140.7,142.1,1.4,OK,SUSPICIOUSLY_SHORT(≥1.9s expected),eit_output_v3/038010_2A_preprocessed/responses/response_14.wav
15,Ella sólo bebe cerveza y no come nada,153.6,158.7,5.1,OK,OK,eit_output_v3/038010_2A_preprocessed/responses/response_15.wav
16,Me gustaría que el precio de las casas bajara,167.3,168.3,1.0,OK,SUSPICIOUSLY_SHORT(≥2.4s expected),eit_output_v3/038010_2A_preprocessed/responses/response_16.wav
17,Cruza a la derecha y después sigue todo recto,182.0,186.7,4.7,OK,OK,eit_output_v3/038010_2A_preprocessed/responses/response_17.wav
18,Ella ha terminado de pintar su apartamento,195.3,200.4,5.1,OK,OK,eit_output_v3/038010_2A_preprocessed/responses/response_18.wav
19,Me gustaría que empezara a hacer más calor pronto,222.2,229.0,6.8,OK,OK,eit_output_v3/038010_2A_preprocessed/responses/response_19.wav
20,El niño al que se le murió el gato está triste,236.0,241.4,5.4,OK,OK,eit_output_v3/038010_2A_preprocessed/responses/response_20.wav
21,Una amiga mía cuida a los niños de mi vecino,250.3,252.9,2.6,OK,SUSPICIOUSLY_SHORT(≥2.7s expected),eit_output_v3/038010_2A_preprocessed/responses/response_21.wav
22,El gato que era negro fue perseguido por el perro,265.6,271.0,5.4,OK,OK,eit_output_v3/038010_2A_preprocessed/responses/response_22.wav
23,Antes de poder salir él tiene que limpiar su cuarto,281.5,284.5,3.0,OK,OK,eit_output_v3/038010_2A_preprocessed/responses/response_23.wav
24,La cantidad de personas que fuman ha disminuido,297.7,300.4,2.7,OK,OK,eit_output_v3/038010_2A_preprocessed/responses/response_24.wav
25,Después de llegar a casa del trabajo tomé la cena,313.1,316.7,3.6,OK,OK,eit_output_v3/038010_2A_preprocessed/responses/response_25.wav
26,El ladrón al que atrapó la policía era famoso,328.6,332.5,3.9,OK,OK,eit_output_v3/038010_2A_preprocessed/responses/response_26.wav
27,Le pedí a un amigo que me ayudara con la tarea,343.5,349.9,6.4,OK,OK,eit_output_v3/038010_2A_preprocessed/responses/response_27.wav
28,El examen no fue tan difícil como me habían dicho,360.0,362.0,2.0,OK,SUSPICIOUSLY_SHORT(≥2.7s expected),eit_output_v3/038010_2A_preprocessed/responses/response_28.wav
29,¿Serías tan amable de darme el libro que está en la mesa?,364.2,366.1,1.9,OK,SUSPICIOUSLY_SHORT(≥3.2s expected),eit_output_v3/038010_2A_preprocessed/responses/response_29.wav
30,Hay mucha gente que no toma nada para el desayuno,373.9,377.2,3.3,OK,OK,eit_output_v3/038010_2A_preprocessed/responses/response_30.wav
